TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ADCT;1,26;;-0,53;0,86;0,19;95,67;-245,19;-199,01;;0,78;1,21;-2,42;1,06;0,28;-1,03;5,76;-162,09;-35,92;-119,48;0,22;0,78;0,18;;;;1,43;-2,32;;99.190.275,00
ADES;1,84;;-3,13;0,34;0,25;23,13;-18,49;-20,33;;-1,27;2,17;-0,21;0,64;0,78;-0,44;4,16;-10,82;-8,10;-8,86;0,75;0,25;0,40;17,82;;;5,34;-0,58;;59.274.785,00
ADI;179,52;1,80;24,93;2,51;1,82;65,69;33,25;28,16;13,69;22,41;1,30;0,15;7,02;43,05;-2,02;1,79;10,06;7,32;9,00;0,73;0,27;0,26;18,02;27,83;;71,82;7,23;;90.345.549.294,00
ADIL;3,29;;-0,32;2,79;1,03;;;;-0,32;-0,13;0,18;-1,61;;3,44;-4,28;1,65;-884,03;-326,24;-884,10;0,37;0,63;0,00;;;;1,18;-10,43;;4.013.800,00
ADILW;0,00;;;;;;;;;-0,13;0,18;-1,61;;;;1,65;-884,03;-326,24;-884,10;0,37;0,63;0,00;;;;1,18;-10,43;;4.013.800,00
ADM;80,74;2,16;10,47;1,74;0,78;7,54;5,54;4,15;6,61;7,68;-0,17;-0,04;0,43;3,65;-1,75;1,63;16,63;7,47;14,04;0,45;0,54;1,80;10,80;22,16;;46,52;7,74;;43.413.507.568,00
ADMA;3,80;;-21,21;5,82;2,49;27,41;-7,96;-19,36;-139,58;-56,31;-4,70;0,53;4,11;3,81;-11,13;6,35;-27,45;-11,75;-5,77;0,43;0,57;0,61;46,59;;;0,65;-0,18;;854.644.320,00
ADMP;0,85;;-0,26;-0,67;0,72;-28,82;-495,00;-495,89;-0,27;-0,14;0,13;;1,29;-1,21;-4,27;0,58;-258,90;-276,19;258,46;-1,07;2,05;0,56;-18,31;;;-1,28;-3,30;;6.527.744,00
ADMS;8,22;;-6,00;-17,42;2,61;97,64;-55,47;-71,11;-8,37;-8,63;-0,94;;4,27;4,47;-10,46;4,53;-290,23;-43,55;-45,54;-0,15;1,15;0,61;107,92;;;-0,47;-1,37;;376.369.140,00
ADNT;38,62;;31,53;1,67;0,38;6,96;3,40;0,75;4,22;10,08;3,12;0,75;0,24;5,29;-0,71;1,18;5,29;1,21;8,67;0,23;0,73;1,62;-2,73;;;23,21;1,23;;3.626.387.424,00
ADOC;11,33;;-11,67;-7,86;4,40;;;;-11,77;-11,76;0,02;;;-7,88;-4,46;0,02;-67,37;-37,75;66,79;-0,56;0,57;0,00;;;;-1,44;-0,97;;41.449.672,00
ADOCR;0,15;;-0,15;-0,10;0,06;;;;-0,16;-11,76;0,02;;;-0,10;-0,06;0,02;-67,37;-37,75;66,79;-0,56;0,57;0,00;;;;-1,44;-0,97;;41.449.672,00
ADOCW;0,01;;-0,01;-0,01;0,00;;;;-0,01;-11,76;0,02;;;-0,01;0,00;0,02;-67,37;-37,75;66,79;-0,56;0,57;0,00;;;;-1,44;-0,97;;41.449.672,00
ADP;253,63;1,88;30,72;29,87;2,06;44,74;26,04;18,94;16,76;22,54;0,19;0,26;5,82;-175,59;-11,91;0,99;97,23;6,69;56,41;0,07;0,93;0,35;6,29;12,60;;8,52;8,28;;104.830.066.705,00
ADPT;6,18;;-4,70;2,26;1,17;64,09;-94,74;-100,69;-5,53;-2,67;2,32;-1,05;4,73;2,35;-3,12;5,00;-48,21;-24,97;-45,36;0,52;0,48;0,25;36,96;;;2,74;-1,32;;896.799.620,00
ADSK;216,93;;55,56;51,90;5,13;90,40;19,51;16,42;40,80;46,89;0,15;0,17;9,12;-42,59;-7,47;0,72;93,42;9,24;27,12;0,10;0,90;0,56;19,47;;;4,20;3,92;;46.556.021.712,00
ADT;6,39;2,19;-158,56;1,77;0,34;68,71;4,30;-0,58;3,41;55,17;33,94;2,84;0,91;-7,71;-0,37;0,67;-1,12;-0,21;1,16;0,19;0,81;0,37;8,18;-17,28;;3,60;-0,04;;5.886.628.389,00
ADTN;8,04;4,48;-17,88;0,77;0,33;30,19;-9,41;-2,96;-42,88;-6,10;-0,47;0,07;0,53;1,75;-0,60;1,69;-4,31;-1,82;-18,15;0,42;0,35;0,62;8,99;;;10,42;-0,45;;632.601.672,00
ADTX;7,69;;-0,05;21,27;0,19;19,53;-2.827,92;-2.927,39;-0,06;-0,09;-0,04;13,87;1,54;-0,36;-0,25;0,33;-40.552,94;-361,23;-2.027,32;0,01;0,99;0,12;;;;0,36;-144,91;;1.446.280,00
ADUS;89,26;;26,91;2,17;1,56;31,50;7,91;5,39;15,47;18,26;-0,07;-0,01;1,45;19,61;-2,01;1,55;8,08;5,80;8,55;0,72;0,28;1,08;17,43;30,95;;41,10;3,32;;1.448.783.445,00
ADV;2,73;;-0,61;0,81;0,22;12,96;-35,11;-34,72;-0,72;-1,82;-1,22;1,65;0,21;1,70;-0,30;1,88;-133,68;-35,39;-53,35;0,26;0,73;1,02;;;;3,36;-4,50;;889.265.356,00
ADVM;1,69;;-1,17;1,08;0,62;100,00;-4.044,78;-4.046,78;-1,21;-0,04;1,13;-1,04;47,41;1,39;-1,60;3,63;-92,35;-52,87;-92,35;0,57;0,43;0,01;;;;1,56;-1,44;;170.678.170,00
ADVWW;0,21;;-0,05;0,06;0,02;12,96;-35,11;-34,72;-0,06;-1,82;-1,22;1,65;0,02;0,13;-0,02;1,88;-133,68;-35,39;-53,35;0,26;0,73;1,02;;;;3,36;-4,50;;889.265.356,00
ADX;17,18;6,22;146,63;1,65;1,62;100,00;0,00;53,31;;;;0,00;78,17;-448,02;-1,62;0,16;1,13;1,10;;0,98;0,02;0,02;1,51;42,97;;10,41;0,12;;1.908.554.766,03
ADXN;0,48;;-0,35;1,09;0,66;100,00;-1.369,85;-1.394,12;;0,06;0,41;-1,28;4,82;1,13;-17,25;2,55;-316,80;-191,02;-311,28;0,60;0,40;0,14;;;;0,45;-1,42;;7.780.857,00
ADXS;1,00;;-0,34;0,20;0,19;100,00;-5.723,60;-5.743,60;-0,35;1,42;1,76;-1,07;19,35;0,21;-28,29;11,18;-60,77;-55,38;-60,77;0,91;0,09;0,01;-53,92;;;4,88;-2,97;;4.838.300,00
AEB;25,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AEE;80,28;3,03;18,95;1,98;0,54;41,63;22,25;13,65;6,37;20,42;8,80;1,50;2,59;-17,27;-0,57;0,62;10,43;2,87;6,13;0,27;0,73;0,21;5,21;15,48;;40,71;4,25;;21.143.452.265,00
