TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
RZAT11;90,37;0,750000;12,46;100,00;0,90;613.798,42;0,12;-16,01;-56,13;370.802.272,62;37.327,00;Ativa;3.708.168,00
RZDM11;550,16;2,900000;1,56;279,67;1,97;20.710.244,33;10,68;;;44.746.731,65;4,00;Ativa;160.000,00
RZTR11;98,29;0,850000;11,61;96,49;1,02;1.975.199,74;5,11;;;1.066.040.904,42;90.406,00;Ativa;11.048.018,00
SACL11;0,00;;0,00;;;;;;;;;;0,00
SADI11;86,52;1,000000;14,30;96,00;0,90;394.529,90;1,99;62,08;-1,18;148.668.632,64;10.064,00;Ativa;1.548.684,00
SAIC11B;37,00;0,662215;0,00;55,34;0,67;148,00;2,81;;-3,75;79.120.100,14;50,00;Passiva;1.429.740,00
SALI11;0,00;;0,00;101,50;;;4,37;;;8.076.083,74;1,00;Passiva;79.565,00
SARE11;53,49;0,480000;13,55;94,50;0,57;1.707.536,13;1,70;7,78;-19,23;872.665.411,15;45.345,00;Ativa;9.234.329,00
SBCL11;0,00;;0,00;794,71;;;169,03;;;23.841.269,80;2,00;Ativa;30.000,00
SCPF11;4,98;0,023000;5,42;11,68;0,43;3.188,23;2,18;1,67;-18,02;49.074.703,53;5.119,00;Ativa;4.200.000,00
SEED11;98,99;0,740000;11,83;89,36;1,11;197.980,00;1,67;;;146.542.434,60;123,00;Ativa;1.640.000,00
SEQR11;63,99;0,714400;12,94;93,52;0,68;135.682,48;1,43;;;150.425.119,96;5.487,00;Ativa;1.608.552,00
SFND11;83,07;4,250000;0,00;8,59;9,67;;7,93;116,69;;8.431.081,42;54,00;Passiva;981.472,00
SFRO11;0,00;;0,00;5,93;;;102,53;;;5.191.438,53;20,00;Passiva;875.758,00
SHDP11B;0,00;8,500107;0,00;1.288,33;;;1,79;24,65;;1.890.995.254,07;3,00;Passiva;1.467.793,00
