TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ADIL;2,61;;-0,39;0,92;0,81;;;;-0,28;-0,18;0,11;-0,37;;1,92;-1,76;4,43;-234,97;-206,25;-325,20;0,88;0,12;0,00;;;;2,72;-6,40;;3.166.800,00
ADILW;0,00;;;;;;;;;-0,18;0,11;-0,37;;;;4,43;-234,97;-206,25;-325,20;0,88;0,12;0,00;;;;2,72;-6,40;;3.166.800,00
ADM;76,01;2,30;9,86;1,64;0,74;7,54;5,54;4,15;6,23;7,20;-0,17;-0,04;0,41;3,44;-1,65;1,63;16,63;7,47;14,04;0,45;0,54;1,80;10,80;22,16;;46,52;7,74;;40.749.082.616,00
ADMA;3,53;;-19,70;5,41;2,31;27,41;-7,96;-19,36;-129,66;-52,64;-4,70;0,53;3,81;3,54;-10,34;6,35;-27,45;-11,75;-5,77;0,43;0,57;0,61;46,59;;;0,65;-0,18;;793.919.592,00
ADMP;0,78;;-0,29;-0,75;0,80;-28,82;-495,00;-495,89;-0,31;-0,17;0,13;;1,44;-1,35;-4,77;0,58;-258,90;-276,19;258,46;-1,07;2,05;0,56;-18,31;;;-1,03;-2,68;;7.300.098,00
ADMS;8,22;;-6,00;-17,42;2,61;97,64;-55,47;-71,11;-8,37;-8,63;-0,94;;4,27;4,47;-10,46;4,53;-290,23;-43,55;-45,54;-0,15;1,15;0,61;107,92;;;-0,47;-1,37;;376.369.140,00
ADNT;36,79;;30,25;1,60;0,37;6,96;3,40;0,75;4,04;9,73;3,12;0,75;0,23;5,07;-0,69;1,18;5,29;1,21;8,67;0,23;0,73;1,62;-2,73;;;23,21;1,23;;3.445.629.993,00
ADOC;11,38;;-21,06;-7,22;4,34;;;;-21,45;-21,44;0,01;;;-7,23;-4,37;0,01;-34,31;-20,60;33,68;-0,60;0,61;0,00;;;;-1,58;-0,54;;41.632.592,00
ADOCR;0,09;;-0,17;-0,06;0,03;;;;-0,17;-21,44;0,01;;;-0,06;-0,03;0,01;-34,31;-20,60;33,68;-0,60;0,61;0,00;;;;-1,58;-0,54;;41.632.592,00
ADOCW;0,02;;-0,04;-0,01;0,01;;;;-0,04;-21,44;0,01;;;-0,01;-0,01;0,01;-34,31;-20,60;33,68;-0,60;0,61;0,00;;;;-1,58;-0,54;;41.632.592,00
