,DY,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
KLBN3,"6,25","7,49","1,30","0,08","4,04","4,72","1,76","1,61","0,97","4,61","2,90","2,37","3,15"
KLBN4,"6,22","7,51","1,46","0,08","4,85","7,32","2,83","3,43","2,17","5,25","2,86","2,50","3,01"
KRSA3,,,,,,,,,,,,,
LAME3,,,"3,64","0,07","1,23","0,50","0,19","0,91","0,90","0,95","0,77","0,60","0,81"
LAME4,,,"3,65","0,06","0,94","0,38","0,14","0,67","0,58","0,72","0,67","0,58","0,73"
LAND3,"6,79","0,71",,,,,,,,,,,
LAVV3,"3,65","10,81","13,10",,,,,,,,,,
LCAM3,,,"1,74","1,26","4,04","2,43","1,51","10,78","6,88","3,88","2,57","1,14",
LEVE3,"9,14","14,60","4,79","0,44","7,88","7,14","2,39","3,01","6,88","9,45","4,78","7,08","10,24"
LHER3,,,,,,,,,,,,,
LHER4,,,,,,,,,,,,,
LIGT3,,"5,48","3,75",,"0,81","0,88",,"0,28","7,80","10,51","4,42","9,62","9,47"
LINX3,,,"1,51","0,30","0,44","0,71","1,05","1,63","1,87","1,26","0,71",,
LIPR3,"3,24","2,60","2,74",,"0,37","12,79","1,40","0,87",,"0,55","2,23","3,90","1,97"
LJQQ3,,,"1,26","0,41",,,,,,,,,
LOGG3,"4,72","5,38","1,29","0,62","0,43",,,,,,,,
LOGN3,,,,,,,,,,,,,
LPSB3,"0,80","4,15",,,,,,,"0,39","7,63","2,15","3,38","3,57"
LREN3,"4,65","3,26","1,91","0,74","1,03","1,06","1,14","1,97","8,24","1,84","3,20","2,63","4,00"
LTEL3B,"1,41",,,,,,,,,,,,
LUPA3,,,,,,,,,,,,,
LUXM3,,,,,,,,,,,,"1,81","1,43"
LUXM4,,"0,85","1,96","7,30","7,20","2,20",,,,"5,45","3,10","2,32","2,59"
LVTC3,"0,30","2,95",,,,,,,,,,,
LWSA3,"0,75",,,"0,16",,,,,,,,,
MAGG3,,,,,,,,,,,,,
MAPT3,,,,,,,,,,,,,
MAPT4,,,,,,,,,,,,,
MATD3,"0,64","1,25",,,,,,,,,,,
MBLY3,,,,,,,,,,,,,
MDIA3,"0,53","5,43","0,78","1,34","0,66","0,96","1,08","1,35","1,83","1,33","1,03","1,29","3,23"
MDNE3,,,,,,,,,,,,,
MEAL3,,,,,"7,66","0,08","3,45",,,,,,
MEGA3,,,,,,,,,,,,,
MELK3,"8,01","6,37","7,26",,,,,,,,,,
