,TICKERS,PRECO,MIN_MES,MAX_MES,VAL_MES,MIN_52S,MAX_52S,VAL_12M, VPA,DY, LPA,P/L,P/L_IDEAL,UP/DOWNSIDE,ROE,P/VP,EV/EBIT,LIQ.CORR,MARG.LIQ,DIV.LIQ/PL,SEGMENTO,IBOVESPA,SMALLCAP,DIVIDENDOS
507,SANB3,12.79,12.54,12.99,-1.54,11.55,14.58,-5.33,14.94,6.38,1.33,9.63,11.233082706766917,0.16810007818608286,8.92,0.86,14.17,0.0,10.21,0.0,Bancos,,,
508,SANB4,14.22,14.09,14.48,-1.66,13.12,16.42,-4.88,14.94,6.31,1.33,10.71,11.233082706766917,0.05063291139240489,8.92,0.96,14.17,0.0,10.21,0.0,Bancos,,,
509,SAPR11,23.52,22.58,23.67,3.48,15.24,23.67,47.46,30.11,7.77,4.52,5.21,6.661504424778761,0.280187074829932,15.03,0.78,5.62,1.47,23.19,0.49,Agua e Saneamento,,SMLL,IDIV
510,SAPR3,4.51,4.3,4.52,2.74,2.88,4.52,49.01,6.02,7.54,0.91,4.97,6.615384615384615,0.33481152993348107,15.03,0.75,5.62,1.47,23.19,0.49,Agua e Saneamento,,,
511,SAPR4,4.71,4.57,4.76,1.51,3.11,4.76,45.23,6.02,7.9,0.91,5.23,6.615384615384615,0.27813163481953285,15.03,0.79,5.62,1.47,23.19,0.49,Agua e Saneamento,,SMLL,IDIV
512,SBFG3,7.79,6.91,7.8,5.26,6.91,23.8,-64.93,9.44,1.76,0.51,15.22,18.509803921568626,0.21181001283697043,5.36,0.82,11.49,1.53,1.89,1.15,Produtos Diversos,,,
513,SBSP3,61.22,57.68,61.22,4.26,42.67,61.22,27.73,42.06,2.08,4.7,13.06,8.948936170212766,-0.31296961777196985,11.18,1.46,11.58,0.97,13.52,0.57,Agua e Saneamento,IBOV,,
514,SCAR3,25.4,24.06,25.49,5.57,11.82,28.0,1.6,26.65,0.0,0.52,48.4,51.24999999999999,0.04921259842519676,1.95,0.94,10.68,3.57,3.85,1.04,Exploracao de Imoveis,,,
515,SEDU3,23.8,22.7,24.55,0.0,0.0,0.0,0.0,1.59,0.0,-1.78,-13.36,-0.8932584269662922,-0.9331932773109244,-112.29,15.0,-27.94,1.09,-25.77,4.15,Servicos Educacionais,,,
516,SEER3,6.32,6.19,6.77,-6.65,2.81,8.93,5.51,9.64,0.0,-1.26,-5.05,-7.650793650793651,0.5253164556962024,-13.03,0.66,19.4,1.34,-9.17,0.42,Servicos Educacionais,,SMLL,
