,DY,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP GIRO,P/ATIVO CIRC.LIQ,DÍVIDA LÍQUIDA/PL,DÍVIDA LÍQUIDA/EBITDA,DÍVIDA LÍQUIDA/EBIT,PL/ATIVOS,PASSIVOS/ATIVOS,LIQUIDEZ CORRENTE,M.BRUTA,M.EBITDA,M.EBIT,M.LIQ,ROE,ROA,ROIC,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS
AHEB5,,"1,89","0,00","16,53","1,33","1,28","1,21","1,41","1,00","0,39","8,77","0,30","2,89","-0,67","-3,79","-0,30","-0,32","0,02","0,98","1,46","35,19","22,72","21,45","15,93","873,55","20,39","683,71","1,28","20,77",
AHEB6,,"1,94","0,00","16,94","1,36","1,28","1,21","1,44","1,00","0,40","8,77","0,31","2,96","-0,69","-3,79","-0,30","-0,32","0,02","0,98","1,46","35,19","22,72","21,45","15,93","873,55","20,39","683,71","1,28","20,77",
ALLD3,"5,49","9,58","-0,18","0,39","2,27","4,49","3,29","3,10","16,44","0,17","0,67","0,11","0,62","-0,54","0,15","0,88","1,20","0,43","0,57","1,65","13,77","4,91","3,60","1,16","4,10","1,75","7,52","1,51","14,71","27,14"
ALPA3,,"-28,75","0,20","1,23","-45,39","-26,24","-51,97","-22,92","7,77","0,84","-0,33","1,63","3,74","-1,35","0,18","-6,49","-3,27","0,68","0,32","2,50","42,24","-3,59","-7,11","-5,67","-4,30","-2,94","-6,09","0,52","2,36",
ALPA4,,"-26,14","0,18","1,12","-41,28","-26,24","-51,97","-20,84","7,77","0,77","-0,33","1,48","3,40","-1,23","0,18","-6,49","-3,27","0,68","0,32","2,50","42,24","-3,59","-7,11","-5,67","-4,30","-2,94","-6,09","0,52","2,36",
ALPK3,,"-7,33","0,26","2,56",,"18,20",,"7,64","1,71","0,35","-0,60","0,76","-3,23","-0,42","3,32",,"9,89","0,14","0,86","0,60","29,43",,"9,95","-10,37","-34,95","-4,79","6,20","0,46","3,17",
ALSC3,,"38,57","0,58","2,20","13,61","14,85","12,31","16,41","12,64","1,20","0,72","10,72","9,41","-1,43","-0,21","-1,29","-1,56","0,55","0,44","5,39","75,71","78,75","65,32","27,78","5,69","3,12","11,21","0,11","2,54","19,34"
ALSO3,"2,31","4,02","0,00","0,88","2,06","2,04","1,91","2,20","25,57","0,46","5,58","6,94","9,73","-0,51","-0,12","-0,27","-0,29","0,52","0,44","1,87","101,46","336,86","315,02","172,55","21,84","11,36","26,95","0,07","25,65","87,46"
ALUP11,"5,85","11,52","-0,40","1,17","3,60","7,76","7,38","3,79","24,49","0,31","2,50","2,76","2,84","-0,38","1,22","3,74","3,93","0,27","0,61","2,44","76,94","76,76","72,93","23,99","10,19","2,70","9,59","0,11","20,04","18,11"
ALUP3,"5,83","11,54","-0,40","1,18","3,61","7,76","7,38","3,80","8,16","0,31","0,83","2,77","2,84","-0,38","1,22","3,74","3,93","0,27","0,61","2,44","76,94","76,76","72,93","23,99","10,19","2,70","9,59","0,11","20,04","18,11"
ALUP4,"5,86","11,48","-0,40","1,17","3,59","7,76","7,38","3,78","8,16","0,31","0,83","2,76","2,83","-0,38","1,22","3,74","3,93","0,27","0,61","2,44","76,94","76,76","72,93","23,99","10,19","2,70","9,59","0,11","20,04","18,11"
AMAR3,,"-0,43","0,00","0,70","-1,00","-4,71","-6,14","-0,77","0,89","0,08","-1,45","0,08","-51,66","-0,15","3,46","-4,96","-3,80","0,11","0,89","1,00","37,33","-8,33","-10,87","-19,59","-163,84","-18,69","-18,84","0,95","-0,89",
AMBP3,"0,62","-21,37","0,11","2,30","2,11","8,38","5,77","3,06","9,44","0,23","-1,02","0,54","0,77","-0,42","4,05","3,72","5,40","0,10","0,84","2,75","23,53","25,73","17,72","-2,54","-10,75","-1,06","7,48","0,42","83,52",
AMER3,,"20,62","-0,54","0,06","0,28","8,35","3,13","0,76","16,74","0,02","0,05","0,03","0,10","-0,04","0,59","2,87","7,64","0,35","0,65","1,84","30,68","11,16","4,18","0,15","0,28","0,10","1,24","0,65","21,42",
ANDG3B,,"59,95","-0,78","2,23","19,52","8,60","10,94","15,34","12,94","1,88","0,48","27,47","-25,32","-1,93","0,13","1,18","0,93","0,85","0,15","0,26","47,12","140,72","179,06","45,82","3,71","3,14","12,68","0,07","10,22","-38,09"
ANDG4B,,"0,00","0,00","0,00","0,00","8,60","10,94","0,00","12,94","0,00","0,48","0,00","0,00","0,00","0,13","1,18","0,93","0,85","0,15","0,26","47,12","140,72","179,06","45,82","3,71","3,14","12,68","0,07","10,22","-38,09"
ANIM3,,"-12,51","0,19","0,53","1,45","15,27","6,04","3,67","6,39","0,14","-0,27","0,38","10,47","-0,17","1,62","4,41","11,14","0,26","0,70","1,07","57,41","26,01","10,29","-3,02","-4,26","-1,09","-0,38","0,36","27,79",
APER3,"1,06","13,25","0,04","0,74","6,22","10,45","4,79","13,60","41,37","0,48","2,31","1,23","19,11","-0,62","-0,17","-1,42","-3,11","0,65","0,35","1,12","100,00","19,81","9,07","9,31","5,57","3,60","3,59","0,39","22,90",
APTI3,,"-0,16","0,00","0,02",,"-0,46",,"-0,08","11.599,68","0,01","-1.264,69","0,08","0,02","-0,01","-0,11",,"0,54","0,44","0,56","6,40","94,43",,"-97,83","-52,08","-10,90","-4,82","-22,96","0,09","4,07",
APTI4,,"-2,77","0,00","0,30",,"-0,46",,"-1,47","11.599,68","0,13","-1.264,69","1,44","0,36","-0,24","-0,11",,"0,54","0,44","0,56","6,40","94,43",,"-97,83","-52,08","-10,90","-4,82","-22,96","0,09","4,07",
ARML3,"1,94","28,21","0,45","3,83","8,14","15,98","11,21","11,60","3,40","1,20","0,46","3,97","5,87","-1,74","1,17","2,49","3,54","0,31","0,69","2,90","48,40","48,79","34,24","14,07","13,57","4,24","11,42","0,30",,
